time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/critic_loss,train/ent_coef,train/n_updates
946,1610,124.47,112320,118,337.58200445999995,-0.9005314111709595,0.004641588833612777,-54.29808044433594,4.758396148681641,0.038368918001651764,5115
945,1620,125.58,112660,119,343.9114007,2.1872189044952393,0.004641588833612777,-56.10811233520508,9.812090873718262,0.037708330899477005,5132
945,1630,122.69,114780,121,336.55439525,-0.3983086347579956,0.004641588833612777,-56.09804153442383,5.047892093658447,0.04554843530058861,5238
945,1640,121.27,115100,121,334.1186651600001,-0.5980716943740845,0.004641588833612777,-54.425567626953125,11.33122730255127,0.04438459128141403,5254
944,1650,120.19,117360,124,332.56670020000007,-0.12149626016616821,0.004641588833612777,-58.61211013793945,6.5709991455078125,0.04266860708594322,5367
944,1660,120.73,117600,124,333.93869134,0.19050228595733643,0.004641588833612777,-56.37566375732422,10.609153747558594,0.04180968180298805,5379
944,1670,121.65,119760,126,338.56318157000004,1.7118314504623413,0.004641588833612777,-57.18144989013672,15.121274948120117,0.04312286153435707,5487
944,1680,121.97,120080,127,340.87584773,0.9657700657844543,0.004641588833612777,-60.474609375,5.821805000305176,0.044411469250917435,5503
944,1690,121.82,122080,129,341.1629910599999,0.05547279119491577,0.004641588833612777,-61.69609451293945,13.839357376098633,0.04583948478102684,5603
944,1700,121.55,122600,129,341.04423216000004,1.8386714458465576,0.004641588833612777,-60.588706970214844,35.92025375366211,0.04646892845630646,5629
944,1710,121.5,124420,131,341.4340398499999,-1.695028305053711,0.004641588833612777,-61.62678909301758,4.383889198303223,0.04272344335913658,5720
944,1720,121.96,125020,132,342.98031946000003,0.8286126852035522,0.004641588833612777,-59.796878814697266,13.041455268859863,0.04103077948093414,5750
944,1730,122.56,126800,134,345.00061778,-1.5503909587860107,0.004641588833612777,-61.50184631347656,5.952066421508789,0.04627102613449097,5839
944,1740,122.48,127560,135,343.44024862,-1.1877158880233765,0.004641588833612777,-62.22257995605469,7.823607921600342,0.04431086406111717,5877
944,1750,122.88,129360,136,345.28760486000004,-0.5436230301856995,0.004641588833612777,-65.07270812988281,12.795047760009766,0.04620973765850067,5967
944,1760,123.25,130140,137,347.49354772999993,-1.86956787109375,0.004641588833612777,-61.1514778137207,10.138066291809082,0.04684178903698921,6006
944,1770,123.09,131800,139,347.44418297000004,-0.6703650951385498,0.004641588833612777,-64.54426574707031,20.79346466064453,0.04591823369264603,6089
943,1780,123.01,132600,140,346.11650469999995,-1.1103401184082031,0.004641588833612777,-63.66199493408203,4.502743721008301,0.04503536596894264,6129
943,1790,123.19,134140,142,346.1217779600001,-0.18207433819770813,0.004641588833612777,-68.26272583007812,12.538471221923828,0.04531778022646904,6206
944,1800,123.34,135120,143,345.8304655300001,2.562321662902832,0.004641588833612777,-65.20100402832031,12.686134338378906,0.04477115720510483,6255
943,1810,123.83,136720,144,347.08531530999994,0.640847384929657,0.004641588833612777,-66.25901794433594,21.16917610168457,0.050119590014219284,6335
943,1820,124.11,137580,145,347.97243307,-0.11606577038764954,0.004641588833612777,-65.97743225097656,19.969440460205078,0.050029486417770386,6378
943,1830,123.93,139120,147,347.18912557,-0.345018208026886,0.004641588833612777,-68.22945404052734,5.091006278991699,0.046969421207904816,6455
943,1840,123.49,140000,148,346.41475228999997,1.2840678691864014,0.004641588833612777,-67.94864654541016,14.000988006591797,0.04885260388255119,6499
942,1850,123.68,141700,150,345.9236462,-1.0981167554855347,0.004641588833612777,-68.1324462890625,8.784812927246094,0.05465278401970863,6584
942,1860,123.0,142360,151,343.05915991,0.21253520250320435,0.004641588833612777,-65.81629180908203,13.583362579345703,0.04744289442896843,6617
941,1870,122.98,144280,153,341.22286329,1.3201591968536377,0.004641588833612777,-69.24014282226562,5.847322463989258,0.05461622774600983,6713
941,1880,123.18,144780,153,339.97531903999993,-0.34423816204071045,0.004641588833612777,-71.17037200927734,5.674372673034668,0.05272703617811203,6738
941,1890,123.03,146660,155,339.46783032999997,-1.591406226158142,0.004641588833612777,-74.78352355957031,8.634952545166016,0.05306457728147507,6832
941,1900,123.41,147200,156,341.0944249899999,-1.1319853067398071,0.004641588833612777,-72.291748046875,9.349020004272461,0.04971160739660263,6859
941,1910,122.94,149140,158,338.64055094,1.8194643259048462,0.004641588833612777,-72.05381774902344,13.106771469116211,0.046857960522174835,6956
940,1920,122.65,149680,159,337.44071322,-1.5436124801635742,0.004641588833612777,-71.44564819335938,17.03480339050293,0.056323837488889694,6983
940,1930,123.12,151700,161,337.34346914,-0.19067475199699402,0.004641588833612777,-75.11895751953125,10.21489143371582,0.05321105569601059,7084
940,1940,123.64,152120,161,338.39251905000003,0.4721345603466034,0.004641588833612777,-69.134033203125,23.051956176757812,0.053013451397418976,7105
940,1950,123.56,154200,164,338.7144066500001,-1.2269155979156494,0.004641588833612777,-76.05941772460938,7.465188980102539,0.04684355854988098,7209
940,1960,123.02,154480,164,334.23284232000003,0.09967902302742004,0.004641588833612777,-77.18496704101562,18.782974243164062,0.043638136237859726,7223
940,1970,123.08,156800,166,334.49155499,1.6539982557296753,0.004641588833612777,-76.06558990478516,5.6203508377075195,0.05066598206758499,7339
940,1980,123.72,157080,167,338.1221330700001,0.7659389972686768,0.004641588833612777,-77.85449981689453,4.839550971984863,0.05282599851489067,7353
939,1990,124.15,159260,169,339.61420785999996,0.6943897008895874,0.004641588833612777,-77.79356384277344,9.41750717163086,0.047577179968357086,7462
939,2000,124.36,159640,169,341.45393757,-0.31146612763404846,0.004641588833612777,-74.52157592773438,30.762229919433594,0.047048162668943405,7481
939,2010,125.31,161960,172,345.27800754,3.0111031532287598,0.004641588833612777,-78.23429870605469,13.294868469238281,0.04738806560635567,7597
939,2020,126.25,162240,172,347.1858372800001,1.3655271530151367,0.004641588833612777,-80.11922454833984,12.827420234680176,0.05177854746580124,7611
939,2030,126.53,164560,175,347.2251002299999,-1.483872413635254,0.004641588833612777,-77.4024887084961,28.995647430419922,0.05528576299548149,7727
939,2040,127.39,164880,175,348.70128703,-0.07738512754440308,0.004641588833612777,-80.79225158691406,8.216259956359863,0.05295461043715477,7743
