rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/actor_loss
363.76700603999996,958,364,349000,4020,128.75,16949,37.281166076660156,0.06703725457191467,0.03593813663804626,2.136323928833008,-102.12785339355469
349.74188719000006,958,364,349240,4030,125.27,16961,10.861214637756348,0.08748133480548859,0.03593813663804626,-0.16875600814819336,-102.6025390625
348.96213384999993,958,367,351800,4040,125.04,17089,13.870447158813477,0.0616212859749794,0.03593813663804626,-0.9727320075035095,-104.26272583007812
351.02911595999996,958,367,352120,4050,125.24,17105,69.13307189941406,0.05335423722863197,0.03593813663804626,1.7780954837799072,-106.2961196899414
352.36889657999996,958,369,353900,4060,125.07,17194,36.25035095214844,0.06541567295789719,0.03593813663804626,0.017349064350128174,-102.69551086425781
343.1937623600001,958,370,354880,4070,122.84,17243,14.334609985351562,0.08250981569290161,0.03593813663804626,-1.6413648128509521,-102.35148620605469
328.74923754,958,371,355640,4080,119.44,17281,48.81846237182617,0.06559497117996216,0.03593813663804626,1.4116538763046265,-101.3909912109375
336.83232774,958,372,357320,4090,121.75,17365,26.094669342041016,0.05718950554728508,0.03593813663804626,-0.2551324963569641,-103.89393615722656
333.4387331599999,958,373,358300,4100,121.07,17414,12.643121719360352,0.08085405826568604,0.03593813663804626,-2.4266433715820312,-106.92193603515625
333.3150468400001,958,375,359900,4110,120.84,17494,71.8309326171875,0.076743945479393,0.03593813663804626,-0.854079008102417,-105.40670013427734
321.01329035,958,375,360000,4120,117.94,17499,14.720863342285156,0.07503276318311691,0.03593813663804626,0.727289080619812,-103.04013061523438
327.37510305,958,377,362120,4130,119.59,17605,44.71707534790039,0.10152097046375275,0.03593813663804626,-1.7855167388916016,-102.50760650634766
322.16078514,958,378,362720,4140,118.77,17635,15.779994010925293,0.06913680583238602,0.03593813663804626,3.1450185775756836,-101.44368743896484
317.21675037000006,958,380,364280,4150,117.51,17713,23.269580841064453,0.08043760806322098,0.03593813663804626,0.6878877878189087,-102.37152099609375
312.14567579000004,958,381,365220,4160,116.66,17760,16.972103118896484,0.05818613991141319,0.03593813663804626,-1.1454930305480957,-100.7491455078125
307.94044375000004,958,382,366500,4170,115.8,17824,10.226755142211914,0.06937288492918015,0.03593813663804626,2.865581512451172,-105.55538177490234
301.1630875,958,383,367280,4180,114.81,17863,14.249988555908203,0.11201754212379456,0.03593813663804626,3.173853874206543,-104.63050842285156
318.17887333000004,958,385,369460,4190,119.77,17972,23.5050106048584,0.0661756694316864,0.03593813663804626,1.5468018054962158,-110.78689575195312
