,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
121,121,15.6012854,2023-05-18 16:52:28.852566,2023-05-18 16:52:29.570206,0 days 00:00:00.717640,32,10000,0.9,0.00046927534766596536,1000,-0.046632852488001086,big,0.005,256,PRUNED
122,122,12.8713594,2023-05-18 16:52:29.516766,2023-05-18 16:52:30.431533,0 days 00:00:00.914767,16,1000000,0.9,0.07886934672975225,10000,0.8705582472596017,small,0.08,8,PRUNED
123,123,17.4778118,2023-05-18 16:52:29.575166,2023-05-18 16:52:31.140356,0 days 00:00:01.565190,2048,1000000,0.9,0.000205031880496563,10000,-1.293489470516675,big,0.08,8,PRUNED
124,124,13.494863,2023-05-18 16:52:30.435971,2023-05-18 16:52:31.678543,0 days 00:00:01.242572,2048,1000000,0.9,0.00017025492033356508,10000,-1.8957008910878703,medium,0.01,32,PRUNED
125,125,207.68287760000004,2023-05-18 16:52:31.141575,2023-05-18 16:52:33.819355,0 days 00:00:02.677780,32,10000,0.9,0.0001776592945818799,1000,0.5475182579212077,small,0.005,4,COMPLETE
126,126,67.5108248,2023-05-18 16:52:31.682128,2023-05-18 16:54:01.782960,0 days 00:01:30.100832,2048,1000000,0.9,0.0002068486170567718,0,0.10046923993232415,big,0.01,256,PRUNED
127,127,108.4707558,2023-05-18 16:52:33.820797,2023-05-18 16:52:35.716788,0 days 00:00:01.895991,2048,1000000,0.999,0.000322467301459289,10000,-1.175178190768039,big,0.01,256,COMPLETE
128,128,18.566271,2023-05-18 16:52:35.720497,2023-05-18 16:52:36.336811,0 days 00:00:00.616314,2048,10000,0.9,0.00545380032942337,10000,-0.4090411044847926,big,0.01,32,PRUNED
129,129,28.1784874,2023-05-18 16:52:36.337758,2023-05-18 16:52:36.922048,0 days 00:00:00.584290,16,1000000,0.9,0.012827463072819935,1000,0.46987930573647946,small,0.001,16,PRUNED
130,130,23.843212200000004,2023-05-18 16:52:36.924134,2023-05-18 16:52:37.701604,0 days 00:00:00.777470,32,10000,0.9,4.0307931921911546e-05,1000,0.7336317004797515,small,0.005,1,PRUNED
