,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
119,119,102.53304659999999,2023-05-18 15:25:59.403715,2023-05-18 15:26:43.096543,0 days 00:00:43.692828,2048,1000000,0.9,0.004200374948461785,0,-0.5083867539426297,small,0.08,32,COMPLETE
120,120,0.09119079999999997,2023-05-18 15:26:43.097714,2023-05-18 15:27:20.440521,0 days 00:00:37.342807,2048,1000000,0.999,0.00027461443807428964,0,0.8664707304735193,small,0.08,32,PRUNED
121,121,49.010228999999995,2023-05-18 15:26:43.445113,2023-05-18 15:26:44.129151,0 days 00:00:00.684038,512,10000,0.95,0.11644088734298381,20000,-3.260320248536979,big,0.001,256,PRUNED
122,122,45.603281,2023-05-18 15:26:44.131051,2023-05-18 15:27:47.505538,0 days 00:01:03.374487,1024,1000000,0.995,7.839828480286263e-05,0,-2.5026214508897446,big,0.08,128,PRUNED
123,123,43.248168799999995,2023-05-18 15:27:20.443977,2023-05-18 15:27:36.551526,0 days 00:00:16.107549,1024,1000000,0.9,0.0005018515453950366,0,-3.9633963751008148,small,0.08,128,PRUNED
124,124,78.47963200000001,2023-05-18 15:27:36.553418,2023-05-18 15:30:00.949651,0 days 00:02:24.396233,2048,1000000,0.9,0.00013095349192240332,0,-3.0466178066719953,big,0.08,32,PRUNED
125,125,106.0820878,2023-05-18 15:27:47.510581,2023-05-18 15:27:48.522954,0 days 00:00:01.012373,64,10000,0.9999,0.0043125637947765295,10000,-2.667546208596548,big,0.005,32,COMPLETE
126,126,33.6754626,2023-05-18 15:27:48.539544,2023-05-18 15:28:30.999431,0 days 00:00:42.459887,512,1000000,0.9,0.0017707537741137266,0,-2.7218685079354037,big,0.08,128,PRUNED
127,127,92.58957960000001,2023-05-18 15:28:04.790592,2023-05-18 15:28:35.731780,0 days 00:00:30.941188,128,1000000,0.98,0.0015987546351827644,0,0.8094908505605264,big,0.08,4,PRUNED
128,128,329.09939180000003,2023-05-18 15:28:16.370751,2023-05-18 15:28:44.576265,0 days 00:00:28.205514,64,1000000,0.9,0.0014051754446600814,0,-3.8165841498895223,big,0.08,1,COMPLETE
129,129,64.08350920000001,2023-05-18 15:28:31.003880,2023-05-18 15:29:36.679572,0 days 00:01:05.675692,1024,1000000,0.9,0.0006759009826725778,0,-3.6307876230391987,big,0.05,128,PRUNED
130,130,81.76849440000001,2023-05-18 15:28:35.732823,2023-05-18 15:28:37.074380,0 days 00:00:01.341557,1024,1000000,0.9,0.0006336445032853705,10000,-3.968459866979601,big,0.08,256,PRUNED
131,131,23.394033,2023-05-18 15:28:37.075930,2023-05-18 15:28:37.714911,0 days 00:00:00.638981,128,1000000,0.9999,0.0017335627684649186,20000,0.08341835967259903,big,0.08,16,PRUNED
