time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,train/n_updates,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/learning_rate
29,12.939136,40960,2020,16.26,1411,1547,-9.422904968261719,-0.07758115231990814,0.9846374988555908,11.722909927368164,1e-05
29,12.842463,41080,2030,15.99,1410,1553,-9.221355438232422,-0.07760611921548843,0.9845786094665527,8.1358642578125,1e-05
29,12.623981,41260,2040,15.91,1408,1562,-9.48055648803711,-0.07780987024307251,0.9844903349876404,7.5830864906311035,1e-05
29,12.763393,41420,2050,15.93,1405,1570,-9.834026336669922,-0.07872705161571503,0.9844119548797607,10.034944534301758,1e-05
29,13.251263,41620,2060,16.46,1404,1580,-9.859554290771484,-0.0790974497795105,0.9843138456344604,12.727394104003906,1e-05
29,12.944428,41720,2070,16.11,1404,1585,-9.502073287963867,-0.07996650040149689,0.9842648506164551,11.031904220581055,1e-05
29,12.896582,41940,2080,16.12,1400,1596,-9.696990966796875,-0.0810302346944809,0.9841572046279907,8.294709205627441,1e-05
30,12.726106,42100,2090,15.97,1399,1604,-9.830503463745117,-0.080643430352211,0.9840788245201111,7.18404483795166,1e-05
30,12.670869,42260,2100,15.93,1397,1612,-9.908681869506836,-0.08034852147102356,0.9840005040168762,7.6362504959106445,1e-05
30,12.586307,42420,2110,15.74,1393,1620,-10.08270263671875,-0.08128251135349274,0.9839223027229309,8.245803833007812,1e-05
30,13.388354,42620,2120,16.02,1391,1630,-10.130313873291016,-0.081873819231987,0.9838243126869202,12.968886375427246,1e-05
30,14.418672,42780,2130,16.55,1390,1638,-10.109018325805664,-0.08253476023674011,0.9837459921836853,12.991268157958984,1e-05
30,15.029328,42980,2140,17.16,1389,1648,-10.223503112792969,-0.08180743455886841,0.9836480021476746,14.997023582458496,1e-05
31,14.818637,43100,2150,16.89,1388,1654,-10.131847381591797,-0.08288716524839401,0.9835893511772156,8.962471008300781,1e-05
31,14.372867,43280,2160,16.43,1387,1663,-9.573220252990723,-0.0830807238817215,0.983501136302948,6.795148849487305,1e-05
31,14.97667,43400,2170,16.96,1386,1669,-9.984535217285156,-0.08314995467662811,0.9834423065185547,8.751734733581543,1e-05
31,14.608874,43560,2180,16.6,1385,1677,-10.484601974487305,-0.08478013426065445,0.9833640456199646,12.355167388916016,1e-05
31,14.488694,43720,2190,16.4,1384,1685,-10.191962242126465,-0.0839635580778122,0.9832858443260193,11.422069549560547,1e-05
31,14.787362,43900,2200,16.79,1383,1694,-10.043021202087402,-0.0843476727604866,0.9831977486610413,8.585047721862793,1e-05
31,15.1124,44000,2210,16.9,1382,1699,-10.249844551086426,-0.08491763472557068,0.9831488728523254,12.855106353759766,1e-05
31,14.250916,44160,2220,16.31,1380,1707,-10.565685272216797,-0.0842287689447403,0.9830707311630249,8.95297622680664,1e-05
32,13.194147,44340,2230,15.67,1379,1716,-10.490520477294922,-0.08617979288101196,0.982982873916626,12.476020812988281,1e-05
32,12.356226,44500,2240,14.9,1379,1724,-10.395133972167969,-0.08620327711105347,0.982904851436615,10.37446117401123,1e-05
32,12.41085,44700,2250,15.32,1378,1734,-10.328338623046875,-0.08617816865444183,0.9828072190284729,10.308404922485352,1e-05
32,12.412747,44820,2260,15.46,1377,1740,-10.671764373779297,-0.08659058809280396,0.9827485680580139,11.49482536315918,1e-05
32,12.133758,45000,2270,15.43,1376,1749,-10.593343734741211,-0.0874723494052887,0.9826608300209045,12.043959617614746,1e-05
32,12.072304,45220,2280,15.55,1375,1760,-10.670354843139648,-0.08744107186794281,0.9825533628463745,9.927254676818848,1e-05
33,12.982305,45380,2290,16.46,1374,1768,-10.851163864135742,-0.08849000930786133,0.9824752807617188,12.401420593261719,1e-05
33,12.97463,45480,2300,16.27,1373,1773,-10.938413619995117,-0.08841561526060104,0.9824265837669373,17.495529174804688,1e-05
33,12.540238,45620,2310,16.03,1372,1780,-10.961105346679688,-0.08872100710868835,0.9823583364486694,15.659382820129395,1e-05
33,12.428371,45800,2320,16.07,1372,1789,-10.795495986938477,-0.08929352462291718,0.9822705984115601,8.711502075195312,1e-05
33,12.680258,45980,2330,16.31,1371,1798,-10.721871376037598,-0.08903342485427856,0.9821827411651611,11.030593872070312,1e-05
33,12.979833,46120,2340,16.42,1371,1805,-11.277490615844727,-0.09019383043050766,0.9821144342422485,13.654264450073242,1e-05
33,13.011974,46260,2350,16.05,1370,1812,-11.204479217529297,-0.09108208119869232,0.9820462465286255,13.624185562133789,1e-05
33,13.272262,46440,2360,16.06,1370,1821,-10.864468574523926,-0.09104292839765549,0.9819585680961609,12.182682037353516,1e-05
34,13.144768,46580,2370,15.87,1369,1828,-11.360565185546875,-0.09089075028896332,0.9818903207778931,12.581546783447266,1e-05
34,13.645951,46660,2380,16.1,1369,1832,-10.869649887084961,-0.0907241702079773,0.9818513989448547,10.186878204345703,1e-05
34,12.651127,46860,2390,15.07,1368,1842,-11.0111083984375,-0.09144717454910278,0.9817541241645813,12.052337646484375,1e-05
